<<<0:0:p1:001044>>> アイゼン・メイガス
<<<0:0:p2:001057>>> ノーマル
<<<0:1:p1:001060>>> アベル
<<<0:2:p1:001067>>> アルベド・ピアソラ
<<<0:2:p2:00107a>>> テスタメント
<<<0:3:p1:001087>>> アレン・リッジリー
<<<0:3:p2:00109a>>> ヴェクター制服
<<<0:4:p1:0010a9>>> アレン・リッジリー②
<<<0:4:p2:0010be>>> U-TIC機関研究員服
<<<0:5:p1:0010d0>>> アレン・リッジリー③
<<<0:5:p2:0010e5>>> 水着
<<<0:6:p1:0010ea>>> ヴィルヘルム
<<<0:7:p1:0010f7>>> ヴォイジャー
<<<0:8:p1:001104>>> ヴォイジャー②
<<<0:8:p2:001113>>> バトル形態
<<<0:9:p1:00111e>>> 外套者【青】
<<<0:10:p1:00112b>>> 外套者【赤】
<<<0:11:p1:001138>>> 外套者【黒】
<<<0:12:p1:001145>>> 外套者【白】
<<<0:13:p1:001152>>> ガイナン・クーカイ
<<<0:14:p1:001165>>> ガイナン・クーカイ②
<<<0:14:p2:00117a>>> ユーリエフ私服
<<<0:15:p1:001189>>> カナン
<<<0:16:p1:001190>>> ケイオス
<<<0:17:p1:001199>>> ケイオス②
<<<0:17:p2:0011a4>>> 天衣無縫
<<<0:18:p1:0011ad>>> ケイオス③
<<<0:19:p1:0011b8>>> ケビン・ウィニコット
<<<0:20:p1:0011cd>>> ケビン・ウィニコット②
<<<0:21:p1:0011e4>>> ケビン・ウィニコット③
<<<0:22:p1:0011fb>>> ケビン・ウィニコット④
<<<0:22:p2:001212>>> テスタメント・\nフードなし
<<<0:23:p1:00122d>>> ケビン・ウィニコット⑤
<<<0:24:p1:001244>>> ケビン・ウィニコット⑥
<<<0:24:p2:00125b>>> 幼少時代
<<<0:25:p1:001264>>> KOS-MOS
<<<0:25:p2:00126c>>> バージョン3
<<<0:26:p1:001278>>> KOS-MOS②
<<<0:26:p2:001282>>> バージョン3　\n第3種兵装装備
<<<0:27:p1:00129f>>> KOS-MOS③
<<<0:27:p2:0012a9>>> バージョン3（青眼）
<<<0:28:p1:0012bd>>> KOS-MOS④
<<<0:28:p2:0012c7>>> バージョン4
<<<0:29:p1:0012d3>>> KOS-MOS⑤
<<<0:29:p2:0012dd>>> バージョン4（青眼）
<<<0:30:p1:0012f1>>> KOS-MOS⑥
<<<0:30:p2:0012fb>>> 模擬戦筐体
<<<0:31:p1:001306>>> KOS-MOS⑦
<<<0:32:p1:001310>>> シェリィ・ゴドウィン
<<<0:33:p1:001325>>> シオン・ウヅキ
<<<0:33:p2:001334>>> 潜入服
<<<0:34:p1:00133b>>> シオン・ウヅキ②
<<<0:34:p2:00134c>>> 私服
