<<<0:0:f4:0002e4>>> No.1
<<<0:0:f8:0002e9>>> ダブリー鉱山
<<<0:0:f20:0002f6>>> セグメントNo.1の情報です
<<<0:0:f24:00030f>>> ＨＰ＋３００\nＥＰ＋５０\nＢＬ＋５０\n魔女の力が封じ込められていると\nいわれる魅惑の指輪
<<<0:0:f28:000368>>> ＜魔女の瞳＞の情報です
<<<0:1:f4:00037f>>> No.2
<<<0:1:f8:000384>>> アベルの方舟
<<<0:1:f20:000391>>> セグメントNo.2の情報です
<<<0:1:f24:0003aa>>> ＭＡＸＥＮ：９９０\nイグニス社が誇る\n最新型のジェネレーター
<<<0:1:f28:0003e7>>> ＜Ｇ−イグニスⅢ＞の情報です
<<<0:2:f4:000404>>> No.3
<<<0:2:f8:000409>>> ペディア島
<<<0:2:f20:000414>>> セグメントNo.3の情報です
<<<0:2:f24:00042d>>> ブラックハカセの生涯を賭けた\n究極超絶ロボ\nエルデカイザーΣの転送デバイス
<<<0:2:f28:000478>>> ＜ＥＫデバイス・Σ＞の情報です
<<<0:3:f4:000497>>> No.4
<<<0:3:f8:00049c>>> 統合先進技術試験場
<<<0:3:f20:0004af>>> セグメントNo.4の情報です
<<<0:3:f24:0004c8>>> ＳＴＲ：２９　ＥＡＴＫ：１６\nＶＩＴ：１０　ＥＤＥＦ：１０\nヴェクター社が極秘裏に開発した\nＫＯＳ−ＭＯＳ専用の\n近接戦専用ユニット
<<<0:3:f28:00054d>>> ＜ＫＷＰ−ＸⅠ＞の情報です
<<<0:4:f4:000568>>> No.5
<<<0:4:f8:00056d>>> ラビュリントス
<<<0:4:f20:00057c>>> セグメントNo.5の情報です
<<<0:4:f24:000595>>> エルデカイザーを越える\nエルデカイザー\nハカセが誇る傑作機\nエルデカイザー烈の転送デバイス
<<<0:4:f28:0005f0>>> ＜ＥＫデバイス・烈＞の情報です
<<<0:5:f4:00060f>>> No.6
<<<0:5:f8:000614>>> デュランダル
<<<0:5:f20:000621>>> セグメントNo.6の情報です
<<<0:5:f24:00063a>>> 闇を切り裂く漆黒の炎\nブラックエルデカイザーの\n転送デバイス
<<<0:5:f28:000677>>> ＜ＥＫデバイス・Ｂ＞の情報です
<<<0:6:f4:000696>>> No.7
<<<0:6:f8:00069b>>> 重篤神経症治療施設
<<<0:6:f20:0006ae>>> セグメントNo.7の情報です
<<<0:6:f24:0006c7>>> 敵のカウンター無効\n敵のリベンジ無効\n真に勇敢な者だけが\n身に着ける事を許される\n信念の象徴
<<<0:6:f28:000724>>> ＜威圧の指輪＞の情報です
<<<0:7:f4:00073d>>> No.8
<<<0:7:f8:000742>>> S-Division
<<<0:7:f20:00074d>>> セグメントNo.8の情報です
<<<0:7:f24:000766>>> 戦闘獲得Ｇ小ＵＰ\n富と名誉をつかさどる神から\n祝福を受けたと言われる\n伝説のネックレス
<<<0:7:f28:0007bd>>> ＜ティアーズリバー＞の情報です
<<<0:8:f4:0007dc>>> No.9
<<<0:8:f8:0007e1>>> エルザ
<<<0:8:f20:0007e8>>> セグメントNo.9の情報です
<<<0:8:f24:000801>>> 愛・勇気・友情・正義\nその他諸々の象徴\n元祖エルデカイザーの\n転送デバイス
<<<0:8:f28:00084c>>> ＜ＥＫデバイス ＞の情報です
<<<0:9:f4:000868>>> No.10
<<<0:9:f20:00086e>>> セグメントNo.10の情報です
<<<0:9:f24:000888>>> ＶＩＴ：３０　ＥＤＥＦ：２８\nＳＴＲ：１０　ＢＬ：４０\nＫＯＳ−ＭＯＳ専用の強化装甲\nナルキッソスの彫刻が\n施されている
<<<0:9:f28:000901>>> ＜ＫＡＰ-ＮＡＲ＞の情報です
<<<0:10:f4:00091d>>> No.11
<<<0:10:f8:000923>>> 戦略制圧艦メルカバ
<<<0:10:f20:000936>>> セグメントNo.11の情報です
<<<0:10:f24:000950>>> 最大ブースト数＋１\n回復エーテル効果ＵＰ\n身に着けた者を興奮状態にする\n魅惑のペンダント
<<<0:10:f28:0009a9>>> ＜スイートペイン＞の情報です
<<<0:11:f4:0009c6>>> No.12
<<<0:11:f8:0009cc>>> 浮遊大陸
<<<0:11:f20:0009d5>>> セグメントNo.12の情報です
<<<0:11:f24:0009ef>>> ＳＴＲ：３６　ＥＡＴＫ：３５\nＶＩＴ：６　ＬＵＣＫ：４\n市場に流れているM.W.S.に改良が\n加えられた\nハイチューンのM.W.S.
<<<0:11:f28:000a68>>> ＜ガーディアン＞の情報です
<<<0:12:f4:000a83>>> No.13
<<<0:12:f20:000a89>>> セグメントNo.13の情報です
<<<0:12:f24:000aa3>>> レアドロップ率大ＵＰ\n敵の簡易データ表示\nＥＰ＋５０\n龍の眼をかたどったネックレス\n敵が隠し持ったアイテムを奪い取る
<<<0:12:f28:000b18>>> ＜龍の眼＞の情報です
<<<0:13:f4:000b2d>>> No.14
<<<0:13:f20:000b33>>> セグメントNo.14の情報です
<<<0:13:f24:000b4d>>> 最大ブースト数＋２\n戦闘獲得ＥＸＰ小ＵＰ\n戦闘獲得ＳＰＵＰ\n聖母の魂が宿ったネックレス
<<<0:13:f28:000ba4>>> ＜アイアンメイデン＞の情報です
<<<0:14:f4:000bc3>>> No.15
<<<0:14:f20:000bc9>>> セグメントNo.15の情報です
<<<0:14:f24:000be3>>> ＳＴＲ：３６　ＥＡＴＫ：２８\nＥＶＡ：１０　ＬＵＣＫ：１０\nロスト・エルサレム時代の\n東方の神の力が宿る魔剣
<<<0:14:f28:000c50>>> ＜ヒノカカグラ＞の情報です
<<<1:str0:ptr:000cb4>>> セグメント・F
<<<1:str1:ptr:000cc2>>> 切替
<<<1:str2:ptr:000cc7>>> 詳細
<<<1:str3:ptr:000ccc>>> 戻る
<<<1:str4:ptr:000cd1>>> 閉じる
<<<1:str5:ptr:000cd8>>> LOCATION
<<<1:str6:ptr:000ce1>>> TREASURE
<<<1:str7:ptr:000cea>>> ADDRESS
<<<1:str8:ptr:000cf2>>> DECODER
<<<1:str9:ptr:000cfa>>> NO DATA
<<<1:str10:ptr:000d02>>> IN PROGRESS
<<<1:str11:ptr:000d0e>>> COMPLETE
<<<1:str12:ptr:000d17>>> DETAIL
<<<1:str13:ptr:000d1e>>> PAGE
<<<1:str14:ptr:000d23>>> 15
<<<1:str15:ptr:000d26>>> CONGRATULATIONS!
<<<1:str16:ptr:000d37>>> おめでとうございます！\nセグメント・ファイルをコンプリートしました。
