00000000|0000AC65|0000001C|\mg1\us\Message.Dat
0000B800|00020050|00000030|\mg1\us\Picture.xtx
0000B000|00000678|00000053|\mg1\com\Stage\World.Dat
004DB000|00000A30|00000061|\mg1\com\Stage\Stage.Dat
004DC000|000032FE|00000074|\mg1\com\Stage\Stage_0000.BMP
004DF800|000032FE|0000007E|\mg1\com\Stage\Stage_0001.BMP
004E3000|000032FE|00000088|\mg1\com\Stage\Stage_0002.BMP
004E6800|000032FE|00000092|\mg1\com\Stage\Stage_0003.BMP
004EA000|000032FE|0000009C|\mg1\com\Stage\Stage_0004.BMP
004ED800|000032FE|000000A6|\mg1\com\Stage\Stage_0005.BMP
004F1000|000032FE|000000B0|\mg1\com\Stage\Stage_0006.BMP
004F4800|000032FE|000000BA|\mg1\com\Stage\Stage_0007.BMP
004F8000|000032FE|000000C4|\mg1\com\Stage\Stage_0008.BMP
004FB800|000032FE|000000CE|\mg1\com\Stage\Stage_0009.BMP
004FF000|000032FE|000000DA|\mg1\com\Stage\Stage_0100.BMP
00502800|000032FE|000000E4|\mg1\com\Stage\Stage_0101.BMP
00506000|000032FE|000000EE|\mg1\com\Stage\Stage_0102.BMP
00509800|000032FE|000000F8|\mg1\com\Stage\Stage_0103.BMP
0050D000|000032FE|00000102|\mg1\com\Stage\Stage_0104.BMP
00510800|000032FE|0000010C|\mg1\com\Stage\Stage_0105.BMP
00514000|00003306|00000116|\mg1\com\Stage\Stage_0106.BMP
00517800|000032FE|00000120|\mg1\com\Stage\Stage_0107.BMP
0051B000|000032FE|0000012A|\mg1\com\Stage\Stage_0108.BMP
0051E800|000032FE|00000134|\mg1\com\Stage\Stage_0109.BMP
00522000|000032FE|00000140|\mg1\com\Stage\Stage_0200.BMP
00525800|000032FE|0000014A|\mg1\com\Stage\Stage_0201.BMP
00529000|000032FE|00000154|\mg1\com\Stage\Stage_0202.BMP
0052C800|000032FE|0000015E|\mg1\com\Stage\Stage_0203.BMP
00530000|000032FE|00000168|\mg1\com\Stage\Stage_0204.BMP
00533800|000032FE|00000172|\mg1\com\Stage\Stage_0205.BMP
00537000|000032FE|0000017C|\mg1\com\Stage\Stage_0206.BMP
0053A800|000032FE|00000186|\mg1\com\Stage\Stage_0207.BMP
0053E000|000032FE|00000190|\mg1\com\Stage\Stage_0208.BMP
00541800|000032FE|0000019A|\mg1\com\Stage\Stage_0209.BMP
00545000|000032FE|000001A6|\mg1\com\Stage\Stage_0300.BMP
00548800|000032FE|000001B0|\mg1\com\Stage\Stage_0301.BMP
0054C000|000032FE|000001BA|\mg1\com\Stage\Stage_0302.BMP
0054F800|000032FE|000001C4|\mg1\com\Stage\Stage_0303.BMP
00553000|000032FE|000001CE|\mg1\com\Stage\Stage_0304.BMP
00556800|000032FE|000001D8|\mg1\com\Stage\Stage_0305.BMP
0055A000|000032FE|000001E2|\mg1\com\Stage\Stage_0306.BMP
0055D800|000032FE|000001EC|\mg1\com\Stage\Stage_0307.BMP
00561000|000032FE|000001F6|\mg1\com\Stage\Stage_0308.BMP
00564800|000032FE|00000200|\mg1\com\Stage\Stage_0309.BMP
00568000|00003306|0000020C|\mg1\com\Stage\Stage_0400.BMP
0056B800|000032FE|00000216|\mg1\com\Stage\Stage_0401.BMP
0056F000|000032FE|00000220|\mg1\com\Stage\Stage_0402.BMP
00572800|000032FE|0000022A|\mg1\com\Stage\Stage_0403.BMP
00576000|000032FE|00000234|\mg1\com\Stage\Stage_0404.BMP
00579800|000032FE|0000023E|\mg1\com\Stage\Stage_0405.BMP
0057D000|000032FE|00000248|\mg1\com\Stage\Stage_0406.BMP
00580800|000032FE|00000252|\mg1\com\Stage\Stage_0407.BMP
00584000|000032FE|0000025C|\mg1\com\Stage\Stage_0408.BMP
00587800|000032FE|00000266|\mg1\com\Stage\Stage_0409.BMP
0058B000|000032FE|00000272|\mg1\com\Stage\Stage_0500.BMP
0058E800|000032FE|0000027C|\mg1\com\Stage\Stage_0501.BMP
00592000|000032FE|00000286|\mg1\com\Stage\Stage_0502.BMP
00595800|000032FE|00000290|\mg1\com\Stage\Stage_0503.BMP
00599000|000032FE|0000029A|\mg1\com\Stage\Stage_0504.BMP
0059C800|000032FE|000002A4|\mg1\com\Stage\Stage_0505.BMP
005A0000|000032FE|000002AE|\mg1\com\Stage\Stage_0506.BMP
005A3800|000032FE|000002B8|\mg1\com\Stage\Stage_0507.BMP
005A7000|000032FE|000002C2|\mg1\com\Stage\Stage_0508.BMP
005AA800|00003306|000002CC|\mg1\com\Stage\Stage_0509.BMP
005AE000|000032FE|000002D8|\mg1\com\Stage\Stage_0600.BMP
005B1800|000032FE|000002E2|\mg1\com\Stage\Stage_0601.BMP
005B5000|000032FE|000002EC|\mg1\com\Stage\Stage_0602.BMP
005B8800|000032FE|000002F6|\mg1\com\Stage\Stage_0603.BMP
005BC000|000032FE|00000300|\mg1\com\Stage\Stage_0604.BMP
005BF800|000032FE|0000030A|\mg1\com\Stage\Stage_0605.BMP
005C3000|000032FE|00000314|\mg1\com\Stage\Stage_0606.BMP
005C6800|000032FE|0000031E|\mg1\com\Stage\Stage_0607.BMP
005CA000|000032FE|00000328|\mg1\com\Stage\Stage_0608.BMP
