00000000|003D7DAB|00000016|\evt\s000100.xep
003D8800|00532000|00000020|\evt\s000100.xev
00EEF800|006E45CF|00000030|\evt\s000300.xep
015D4000|001DF08E|0000003A|\evt\s000500.xep
017B4000|00114800|00000044|\evt\s000500.xev
01A02800|00223532|00000054|\evt\s000700.xep
01C26800|000F2800|0000005E|\evt\s000700.xev
01FD9000|00678511|00000070|\evt\s010100.xep
02652800|003F8000|0000007A|\evt\s010100.xev
031B5000|005CF6D4|0000008A|\evt\s010200.xep
03785800|002D1800|00000094|\evt\s010200.xev
03F66800|004E459E|000000A6|\evt\s020010.xep
0444B000|00088000|000000B0|\evt\s020010.xev
0470E800|0015461E|000000C0|\evt\s020350.xep
04863000|00010800|000000CA|\evt\s020350.xev
0490D800|0050ACA3|000000DB|\evt\s021200.xep
04E19800|00C09800|000000E5|\evt\s021200.xev
06AD7800|004CFA1C|000000F5|\evt\s021300.xep
06FA7800|007A3000|000000FF|\evt\s021300.xev
0774A800|0042A737|0000010F|\evt\s021500.xep
07B75800|00144000|00000119|\evt\s021500.xev
080A4800|0051211C|00000129|\evt\s021800.xep
085B7000|002E2800|00000133|\evt\s021800.xev
08EF3800|0057CEB7|00000143|\evt\s021900.xep
09470800|000EF800|0000014D|\evt\s021900.xev
097C4000|00196FC3|0000015E|\evt\s022300.xep
0995B800|001FE000|00000168|\evt\s022300.xev
09ED6800|00372370|00000179|\evt\s025100.xep
0A249800|003B1800|00000183|\evt\s025100.xev
0AA53000|0046227F|00000193|\evt\s025300.xep
0AEB6800|006D3000|0000019D|\evt\s025300.xev
0BE10800|0020E130|000001AD|\evt\s025800.xep
0C01F800|000AD800|000001B7|\evt\s025800.xev
0C173000|001793C5|000001C7|\evt\s025910.xep
0C2EC800|0000B800|000001D1|\evt\s025910.xev
0C391000|006043E7|000001E3|\evt\s030600.xep
0C997000|00400800|000001ED|\evt\s030600.xev
0D702000|0060D5D0|000001FD|\evt\s030700.xep
0DD10800|003B1800|00000207|\evt\s030700.xev
0E94F800|006BEDE2|00000218|\evt\s031200.xep
0F00F800|0034E000|00000222|\evt\s031200.xev
0F7D2800|001D41BE|00000234|\evt\s040110.xep
0F9A7800|00182000|0000023E|\evt\s040110.xev
0FE84000|003594B6|0000024F|\evt\s041710.xep
101DE000|00152800|00000259|\evt\s041710.xev
105EA000|00218ABC|0000026B|\evt\s060100.xep
10804000|005FD800|00000275|\evt\s060100.xev
117F8800|00169711|00000285|\evt\s060720.xep
11962800|00061800|0000028F|\evt\s060720.xev
11AC4800|0038F992|000002A0|\evt\s061420.xep
11E55000|0019A000|000002AA|\evt\s061420.xev
12211800|00523841|000002BA|\evt\s061600.xep
